,0,1,2
3779,prednisolone,pulmonary fibrosis,serpin family a member 6
3780,butenafine,dermatophytosis of groin and perianal area,squalene epoxidase
3781,betamethasone,dermatophytosis of groin and perianal area,nuclear receptor subfamily 3 group c member 1
3782,clotrimazole,dermatophytosis of groin and perianal area,cytochrome p450 family 11 subfamily b member 1
3783,clotrimazole,dermatophytosis of groin and perianal area,cytochrome p450 family 17 subfamily a member 1
3784,clotrimazole,dermatophytosis of groin and perianal area,cytochrome p450 family 51 subfamily a member 1
3785,clotrimazole,dermatophytosis of groin and perianal area,potassium calcium-activated channel subfamily n member 4
3786,cortisol,dermatophytosis of groin and perianal area,cytochrome p450 family 11 subfamily b member 2
3787,cortisol,dermatophytosis of groin and perianal area,nuclear receptor subfamily 3 group c member 1
3788,cortisol,dermatophytosis of groin and perianal area,cytochrome p450 family 11 subfamily b member 1
3789,cortisol,dermatophytosis of groin and perianal area,sex hormone binding globulin
3790,cortisol,dermatophytosis of groin and perianal area,serpin family a member 6
3791,miconazole,dermatophytosis of groin and perianal area,cytochrome p450 family 51 subfamily a member 1
3792,miconazole,dermatophytosis of groin and perianal area,potassium calcium-activated channel subfamily n member 4
3793,miconazole,dermatophytosis of groin and perianal area,cytochrome p450 family 17 subfamily a member 1
3794,miconazole,dermatophytosis of groin and perianal area,cytochrome p450 family 11 subfamily b member 1
3795,ethinylestradiol,postmenopausal atrophic vaginitis,estrogen receptor 2
3796,medroxyprogesterone,postmenopausal atrophic vaginitis,progesterone receptor
3797,medroxyprogesterone,postmenopausal atrophic vaginitis,estrogen receptor 1
3798,norgestimate,postmenopausal atrophic vaginitis,estrogen receptor 1
3799,norgestimate,postmenopausal atrophic vaginitis,progesterone receptor
3800,norethisterone,postmenopausal atrophic vaginitis,progesterone receptor
3801,progesterone,postmenopausal atrophic vaginitis,progesterone receptor
3802,progesterone,postmenopausal atrophic vaginitis,estrogen receptor 1
3803,butenafine,tinea corporis,squalene epoxidase
3804,cortisol,tinea corporis,cytochrome p450 family 11 subfamily b member 2
3805,cortisol,tinea corporis,nuclear receptor subfamily 3 group c member 1
3806,cortisol,tinea corporis,cytochrome p450 family 11 subfamily b member 1
3807,cortisol,tinea corporis,sex hormone binding globulin
3808,cortisol,tinea corporis,serpin family a member 6
3809,betamethasone,tinea corporis,nuclear receptor subfamily 3 group c member 1
3810,clotrimazole,tinea corporis,cytochrome p450 family 11 subfamily b member 1
3811,clotrimazole,tinea corporis,cytochrome p450 family 17 subfamily a member 1
3812,clotrimazole,tinea corporis,cytochrome p450 family 51 subfamily a member 1
3813,clotrimazole,tinea corporis,potassium calcium-activated channel subfamily n member 4
3814,benzocaine,tinea corporis,sodium voltage-gated channel alpha subunit 11
3815,benzocaine,tinea corporis,sodium voltage-gated channel alpha subunit 5
3816,benzocaine,tinea corporis,sodium voltage-gated channel alpha subunit 10
3817,benzocaine,tinea corporis,sodium voltage-gated channel alpha subunit 9
3818,benzocaine,tinea corporis,sodium voltage-gated channel alpha subunit 3
3819,benzocaine,tinea corporis,sodium voltage-gated channel alpha subunit 7
3820,benzocaine,tinea corporis,sodium voltage-gated channel alpha subunit 2
3821,benzocaine,tinea corporis,sodium voltage-gated channel alpha subunit 8
3822,benzocaine,tinea corporis,sodium voltage-gated channel alpha subunit 1
3823,benzocaine,tinea corporis,sodium voltage-gated channel alpha subunit 4
3824,miconazole,tinea corporis,cytochrome p450 family 51 subfamily a member 1
3825,miconazole,tinea corporis,potassium calcium-activated channel subfamily n member 4
3826,miconazole,tinea corporis,cytochrome p450 family 17 subfamily a member 1
3827,miconazole,tinea corporis,cytochrome p450 family 11 subfamily b member 1
3828,loteprednol etabonate,punctate epithelial keratoconjunctivitis,nuclear receptor subfamily 3 group c member 1
3829,ethacrynic acid,hypercalcemia disease,solute carrier family 12 member 1
3830,bumetanide,hypercalcemia disease,solute carrier family 12 member 1
3831,furosemide,hypercalcemia disease,solute carrier family 12 member 1
3832,danazol,gynecomastia disorder,androgen receptor
3833,danazol,gynecomastia disorder,cytochrome p450 family 19 subfamily a member 1
3834,danazol,gynecomastia disorder,gonadotropin releasing hormone receptor
3835,chloroquine,plasmodium ovale malaria,toll like receptor 9
3836,chloroquine,plasmodium ovale malaria,transmembrane protein 97
3837,hydroxychloroquine,plasmodium ovale malaria,toll like receptor 7
3838,hydroxychloroquine,plasmodium ovale malaria,toll like receptor 9
3839,hydroxychloroquine,plasmodium ovale malaria,transmembrane protein 97
3840,morphine,diarrheal disease,opioid receptor mu 1
3841,morphine,diarrheal disease,cytochrome p450 family 3 subfamily a member 4
3842,clonidine,diarrheal disease,cytochrome p450 family 3 subfamily a member 4
3843,clonidine,diarrheal disease,solute carrier family 22 member 5
3844,diphenoxylate,diarrheal disease,opioid receptor mu 1
3845,difenoxin,diarrheal disease,opioid receptor mu 1
3846,loperamide,diarrheal disease,cytochrome p450 family 3 subfamily a member 4
3847,loperamide,diarrheal disease,calcium voltage-gated channel subunit alpha1 a
3848,codeine,diarrheal disease,cytochrome p450 family 3 subfamily a member 4
3849,codeine,diarrheal disease,opioid receptor mu 1
3850,alfacalcidol,hyperparathyroidism,cytochrome p450 family 27 subfamily b member 1
3851,alfacalcidol,hyperparathyroidism,vitamin d receptor
3852,diclofenamide,angle-closure glaucoma,carbonic anhydrase 14
3853,diclofenamide,angle-closure glaucoma,carbonic anhydrase 3
3854,acetazolamide,angle-closure glaucoma,carbonic anhydrase 11
3855,prilocaine,premature ejaculation,sodium voltage-gated channel alpha subunit 2
3856,prilocaine,premature ejaculation,sodium voltage-gated channel alpha subunit 3
3857,prilocaine,premature ejaculation,sodium voltage-gated channel alpha subunit 5
3858,prilocaine,premature ejaculation,sodium voltage-gated channel alpha subunit 1
3859,lidocaine,premature ejaculation,sodium voltage-gated channel alpha subunit 2
3860,lidocaine,premature ejaculation,sodium voltage-gated channel alpha subunit 3
3861,lidocaine,premature ejaculation,sodium voltage-gated channel alpha subunit 4
3862,lidocaine,pthirus pubis infestation,sodium voltage-gated channel alpha subunit 2
3863,lidocaine,pthirus pubis infestation,sodium voltage-gated channel alpha subunit 9
3864,lidocaine,pthirus pubis infestation,sodium voltage-gated channel alpha subunit 3
3865,lidocaine,pthirus pubis infestation,sodium voltage-gated channel alpha subunit 5
3866,lidocaine,pthirus pubis infestation,sodium voltage-gated channel alpha subunit 10
3867,lidocaine,pthirus pubis infestation,sodium voltage-gated channel alpha subunit 4
3868,ceftriaxone,chancroid,synuclein alpha
3869,flibanserin,hypoactive sexual desire disorder,5-hydroxytryptamine receptor 1a
3870,lisuride,amenorrhea,5-hydroxytryptamine receptor 2b
3871,lisuride,amenorrhea,dopamine receptor d4
3872,lisuride,amenorrhea,dopamine receptor d5
3873,norethisterone,amenorrhea,sex hormone binding globulin
3874,ethinylestradiol,amenorrhea,sex hormone binding globulin
3875,desogestrel,amenorrhea,sex hormone binding globulin
3876,estradiol valerate,amenorrhea,sex hormone binding globulin
3877,estrone,amenorrhea,sex hormone binding globulin
3878,triamcinolone,epicondylitis,serpin family a member 6
3879,prednisolone,epicondylitis,serpin family a member 6
3880,prednisone,epicondylitis,nuclear receptor subfamily 3 group c member 1
3881,clomiphene,oligospermia,estrogen receptor 1
3882,ceftriaxone,rhinoscleroma,synuclein alpha
3883,ivermectin,strongyloidiasis,glycine receptor alpha 3
3884,betamethasone,tinea pedis,prostaglandin-endoperoxide synthase 2
3885,sertaconazole,tinea pedis,cytochrome p450 family 51 subfamily a member 1
3886,benzocaine,tinea pedis,sodium voltage-gated channel alpha subunit 11
3887,benzocaine,tinea pedis,sodium voltage-gated channel alpha subunit 5
3888,benzocaine,tinea pedis,sodium voltage-gated channel alpha subunit 9
3889,benzocaine,tinea pedis,sodium voltage-gated channel alpha subunit 3
3890,benzocaine,tinea pedis,sodium voltage-gated channel alpha subunit 7
3891,benzocaine,tinea pedis,sodium voltage-gated channel alpha subunit 2
3892,benzocaine,tinea pedis,sodium voltage-gated channel alpha subunit 8
3893,benzocaine,tinea pedis,sodium voltage-gated channel alpha subunit 1
3894,benzocaine,tinea pedis,sodium voltage-gated channel alpha subunit 4
3895,cortisol,tinea pedis,cytochrome p450 family 11 subfamily b member 2
3896,cortisol,tinea pedis,cytochrome p450 family 11 subfamily b member 1
3897,cortisol,tinea pedis,sex hormone binding globulin
3898,cortisol,tinea pedis,serpin family a member 6
3899,miconazole,tinea pedis,cytochrome p450 family 51 subfamily a member 1
3900,miconazole,tinea pedis,potassium calcium-activated channel subfamily n member 4
3901,miconazole,tinea pedis,cytochrome p450 family 17 subfamily a member 1
3902,miconazole,tinea pedis,cytochrome p450 family 11 subfamily b member 1
3903,clotrimazole,tinea pedis,cytochrome p450 family 11 subfamily b member 1
3904,clotrimazole,tinea pedis,cytochrome p450 family 17 subfamily a member 1
3905,clotrimazole,tinea pedis,cytochrome p450 family 51 subfamily a member 1
3906,clotrimazole,tinea pedis,potassium calcium-activated channel subfamily n member 4
3907,azelastine,vasomotor rhinitis,adrenoceptor alpha 1b
3908,azelastine,vasomotor rhinitis,adrenoceptor alpha 1a
3909,dextromethorphan,vasomotor rhinitis,solute carrier family 6 member 2
3910,promethazine,vasomotor rhinitis,cholinergic receptor muscarinic 4
3911,promethazine,vasomotor rhinitis,cholinergic receptor muscarinic 5
3912,promethazine,vasomotor rhinitis,cholinergic receptor muscarinic 2
3913,promethazine,vasomotor rhinitis,cholinergic receptor muscarinic 3
3914,promethazine,vasomotor rhinitis,adrenoceptor alpha 1a
3915,promethazine,vasomotor rhinitis,cholinergic receptor muscarinic 1
3916,chlorpheniramine,vasomotor rhinitis,solute carrier family 6 member 2
3917,pseudoephedrine,vasomotor rhinitis,adrenoceptor alpha 2a
3918,pseudoephedrine,vasomotor rhinitis,solute carrier family 6 member 2
3919,pseudoephedrine,vasomotor rhinitis,adrenoceptor beta 2
3920,ephedrine,vasomotor rhinitis,solute carrier family 6 member 2
3921,ephedrine,vasomotor rhinitis,adrenoceptor beta 2
3922,n-methyl scopolamine,vasomotor rhinitis,cholinergic receptor muscarinic 1
3923,n-methyl scopolamine,vasomotor rhinitis,cholinergic receptor muscarinic 5
3924,n-methyl scopolamine,vasomotor rhinitis,cholinergic receptor muscarinic 2
3925,n-methyl scopolamine,vasomotor rhinitis,cholinergic receptor muscarinic 3
3926,n-methyl scopolamine,vasomotor rhinitis,cholinergic receptor muscarinic 4
3927,diphenhydramine,vasomotor rhinitis,cholinergic receptor muscarinic 2
3928,diphenhydramine,vasomotor rhinitis,cholinergic receptor muscarinic 4
3929,diphenhydramine,vasomotor rhinitis,solute carrier family 6 member 2
3930,diphenhydramine,vasomotor rhinitis,cholinergic receptor muscarinic 1
3931,diphenhydramine,vasomotor rhinitis,cholinergic receptor muscarinic 5
3932,diphenhydramine,vasomotor rhinitis,cholinergic receptor muscarinic 3
3933,beclometasone,vasomotor rhinitis,nuclear receptor subfamily 3 group c member 1
3934,brompheniramine,vasomotor rhinitis,cholinergic receptor muscarinic 4
3935,brompheniramine,vasomotor rhinitis,cholinergic receptor muscarinic 2
3936,brompheniramine,vasomotor rhinitis,cholinergic receptor muscarinic 5
3937,brompheniramine,vasomotor rhinitis,cholinergic receptor muscarinic 3
3938,brompheniramine,vasomotor rhinitis,cholinergic receptor muscarinic 1
3939,clemastine,vasomotor rhinitis,adrenoceptor alpha 2a
3940,clemastine,vasomotor rhinitis,cholinergic receptor muscarinic 4
3941,clemastine,vasomotor rhinitis,transmembrane protein 97
3942,clemastine,vasomotor rhinitis,cholinergic receptor muscarinic 3
3943,clemastine,vasomotor rhinitis,cholinergic receptor muscarinic 5
3944,clemastine,vasomotor rhinitis,cholinergic receptor muscarinic 1
3945,clemastine,vasomotor rhinitis,cholinergic receptor muscarinic 2
3946,phenylephrine,vasomotor rhinitis,adrenoceptor alpha 2a
3947,doxylamine,vasomotor rhinitis,cholinergic receptor muscarinic 1
3948,imiquimod,superficial multifocal basal cell carcinoma,toll like receptor 7
3949,5-fluorouracil,superficial multifocal basal cell carcinoma,thymidylate synthetase
3950,paclitaxel,cervical cancer,tubulin beta class i
3951,5-fluorouracil,cervical cancer,methylenetetrahydrofolate reductase
3952,topotecan,cervical cancer,dna topoisomerase i mitochondrial
3953,spironolactone,hyperaldosteronism,nuclear receptor subfamily 3 group c member 1
3954,spironolactone,hyperaldosteronism,cytochrome p450 family 11 subfamily b member 2
3955,spironolactone,hyperaldosteronism,cytochrome p450 family 11 subfamily b member 1
3956,dextromethorphan,rhinitis,opioid receptor mu 1
3957,dextromethorphan,rhinitis,solute carrier family 6 member 2
3958,beclometasone,rhinitis,nuclear receptor subfamily 3 group c member 1
3959,hydrocodone,rhinitis,opioid receptor mu 1
3960,ephedrine,rhinitis,adrenoceptor alpha 1a
3961,ephedrine,rhinitis,solute carrier family 6 member 2
3962,ephedrine,rhinitis,adrenoceptor beta 2
3963,pseudoephedrine,rhinitis,solute carrier family 6 member 2
3964,pseudoephedrine,rhinitis,adrenoceptor beta 2
3965,codeine,rhinitis,opioid receptor mu 1
3966,triamterene,potassium deficiency disease,sodium channel epithelial 1 subunit beta
3967,triamterene,potassium deficiency disease,sodium channel epithelial 1 subunit gamma
3968,triamterene,potassium deficiency disease,sodium channel epithelial 1 subunit alpha
3969,cortisol,keratitis,annexin a1
3970,cortisol,keratitis,sex hormone binding globulin
3971,cortisol,keratitis,serpin family a member 6
3972,prednisolone,keratitis,serpin family a member 6
3973,propylthiouracil,hyperthyroidism,iodothyronine deiodinase 1
3974,carbimazole,hyperthyroidism,thyroid peroxidase
3975,lidocaine,scabies,sodium voltage-gated channel alpha subunit 2
3976,lidocaine,scabies,sodium voltage-gated channel alpha subunit 3
3977,lidocaine,scabies,sodium voltage-gated channel alpha subunit 4
3978,everolimus,kidney angiomyolipoma,fkbp prolyl isomerase 1a
3979,fluorometholone,corneal ulcer,nuclear receptor subfamily 3 group c member 1
3980,fluorometholone,corneal ulcer,serpin family a member 6
3981,prednisolone,corneal ulcer,serpin family a member 6
3982,cortisol,corneal ulcer,sex hormone binding globulin
3983,cortisol,corneal ulcer,serpin family a member 6
3984,mupirocin,impetigo,isoleucyl-trna synthetase 1
3985,ceftriaxone,bacterial pneumonia,synuclein alpha
3986,hydroxocobalamin,homocystinuria,5-methyltetrahydrofolate-homocysteine methyltransferase
3987,hydroxocobalamin,homocystinuria,metabolism of cobalamin associated a
3988,hydroxocobalamin,homocystinuria,metabolism of cobalamin associated c
3989,hydroxocobalamin,homocystinuria,methylenetetrahydrofolate reductase
3990,hydroxocobalamin,homocystinuria,5-methyltetrahydrofolate-homocysteine methyltransferase reductase
3991,montelukast,intrinsic asthma,cysteinyl leukotriene receptor 1
3992,montelukast,intrinsic asthma,arachidonate 5-lipoxygenase
3993,mometasone,intrinsic asthma,nuclear receptor subfamily 3 group c member 1
3994,salmeterol,intrinsic asthma,adrenoceptor beta 2
3995,fluticasone,intrinsic asthma,nuclear receptor subfamily 3 group c member 1
3996,zileuton,intrinsic asthma,arachidonate 5-lipoxygenase
3997,zileuton,intrinsic asthma,epoxide hydrolase 2
3998,formoterol,intrinsic asthma,adrenoceptor beta 2
3999,fluorometholone,iridocyclitis,serpin family a member 6
4000,cortisol,iridocyclitis,sex hormone binding globulin
4001,cortisol,iridocyclitis,serpin family a member 6
4002,prednisolone,iridocyclitis,serpin family a member 6
4003,fluticasone,allergic asthma,nuclear receptor subfamily 3 group c member 1
4004,montelukast,allergic asthma,cysteinyl leukotriene receptor 1
4005,montelukast,allergic asthma,arachidonate 5-lipoxygenase
4006,formoterol,allergic asthma,adrenoceptor beta 2
4007,zileuton,allergic asthma,arachidonate 5-lipoxygenase
4008,zileuton,allergic asthma,epoxide hydrolase 2
4009,mometasone,allergic asthma,nuclear receptor subfamily 3 group c member 1
4010,salmeterol,allergic asthma,adrenoceptor beta 2
4011,fluorometholone,otitis externa,nuclear receptor subfamily 3 group c member 1
4012,fluorometholone,otitis externa,serpin family a member 6
4013,prednisolone,otitis externa,nuclear receptor subfamily 3 group c member 1
4014,prednisolone,otitis externa,serpin family a member 6
4015,cortisol,otitis externa,sex hormone binding globulin
4016,cortisol,otitis externa,serpin family a member 6
4017,terbutaline,bronchiectasis,adrenoceptor beta 2
4018,terbutaline,bronchiectasis,adrenoceptor beta 1
4019,5-fluorouracil,oral mucosa leukoplakia,thymidylate synthetase
4020,formoterol,pulmonary emphysema,cytochrome p450 family 2 subfamily a member 6
4021,formoterol,pulmonary emphysema,adrenoceptor beta 1
4022,formoterol,pulmonary emphysema,adrenoceptor beta 3
4023,salmeterol,pulmonary emphysema,adrenoceptor beta 3
4024,salmeterol,pulmonary emphysema,adrenoceptor beta 1
4025,dyphylline,pulmonary emphysema,adenosine a1 receptor
4026,dyphylline,pulmonary emphysema,adenosine a2a receptor
4027,dyphylline,pulmonary emphysema,phosphodiesterase 3a
4028,terbutaline,pulmonary emphysema,adrenoceptor beta 1
4029,theophylline,pulmonary emphysema,adenosine a2a receptor
4030,theophylline,pulmonary emphysema,adenosine a2b receptor
4031,theophylline,pulmonary emphysema,phosphodiesterase 4c
4032,theophylline,pulmonary emphysema,phosphodiesterase 4a
4033,theophylline,pulmonary emphysema,phosphodiesterase 3a
4034,theophylline,pulmonary emphysema,phosphodiesterase 4d
4035,theophylline,pulmonary emphysema,phosphodiesterase 4b
4036,theophylline,pulmonary emphysema,adenosine a1 receptor
4037,theophylline,pulmonary emphysema,adenosine a3 receptor
4038,cortisol,tenosynovitis,sex hormone binding globulin
4039,cortisol,tenosynovitis,serpin family a member 6
4040,indomethacin,tenosynovitis,c-x-c motif chemokine ligand 8
4041,indomethacin,tenosynovitis,aldo-keto reductase family 1 member c3
4042,diclofenac,tenosynovitis,prostaglandin-endoperoxide synthase 2
4043,diclofenac,tenosynovitis,prostaglandin-endoperoxide synthase 1
4044,diclofenac,tenosynovitis,c-x-c motif chemokine ligand 8
4045,betamethasone,tenosynovitis,prostaglandin-endoperoxide synthase 2
4046,betamethasone,tenosynovitis,nuclear receptor subfamily 3 group c member 1
4047,triamcinolone,tenosynovitis,prostaglandin-endoperoxide synthase 2
4048,triamcinolone,tenosynovitis,serpin family a member 6
4049,salicylic acid,tenosynovitis,prostaglandin-endoperoxide synthase 1
4050,salicylic acid,tenosynovitis,prostaglandin-endoperoxide synthase 2
4051,prednisolone,tenosynovitis,serpin family a member 6
4052,betamethasone,tendinitis,prostaglandin-endoperoxide synthase 2
4053,betamethasone,tendinitis,nuclear receptor subfamily 3 group c member 1
4054,sulindac,tendinitis,prostaglandin-endoperoxide synthase 1
4055,sulindac,tendinitis,prostaglandin-endoperoxide synthase 2
4056,triamcinolone,tendinitis,nuclear receptor subfamily 3 group c member 1
4057,triamcinolone,tendinitis,prostaglandin-endoperoxide synthase 2
4058,triamcinolone,tendinitis,serpin family a member 6
4059,salicylic acid,tendinitis,prostaglandin-endoperoxide synthase 1
4060,salicylic acid,tendinitis,prostaglandin-endoperoxide synthase 2
4061,diclofenac,tendinitis,prostaglandin-endoperoxide synthase 2
4062,diclofenac,tendinitis,prostaglandin-endoperoxide synthase 1
4063,diclofenac,tendinitis,c-x-c motif chemokine ligand 8
4064,cortisol,tendinitis,nuclear receptor subfamily 3 group c member 1
4065,cortisol,tendinitis,sex hormone binding globulin
4066,cortisol,tendinitis,serpin family a member 6
4067,methylprednisolone,tendinitis,nuclear receptor subfamily 3 group c member 1
4068,naproxen,tendinitis,prostaglandin-endoperoxide synthase 1
4069,naproxen,tendinitis,aldo-keto reductase family 1 member c3
4070,naproxen,tendinitis,prostaglandin-endoperoxide synthase 2
4071,indomethacin,tendinitis,c-x-c motif chemokine ligand 8
4072,indomethacin,tendinitis,prostaglandin-endoperoxide synthase 1
4073,indomethacin,tendinitis,prostaglandin-endoperoxide synthase 2
4074,indomethacin,tendinitis,aldo-keto reductase family 1 member c3
4075,prednisolone,tendinitis,nuclear receptor subfamily 3 group c member 1
4076,prednisolone,tendinitis,serpin family a member 6
4077,etodolac,tendinitis,prostaglandin-endoperoxide synthase 1
4078,etodolac,tendinitis,prostaglandin-endoperoxide synthase 2
4079,lidocaine,hemorrhoid,sodium voltage-gated channel alpha subunit 2
4080,lidocaine,hemorrhoid,sodium voltage-gated channel alpha subunit 3
4081,lidocaine,hemorrhoid,sodium voltage-gated channel alpha subunit 4
4082,cortisol,hemorrhoid,nuclear receptor subfamily 3 group c member 1
4083,cortisol,hemorrhoid,sex hormone binding globulin
4084,cortisol,hemorrhoid,serpin family a member 6
4085,lidocaine,pediculus humanus capitis infestation,sodium voltage-gated channel alpha subunit 2
4086,lidocaine,pediculus humanus capitis infestation,sodium voltage-gated channel alpha subunit 9
4087,lidocaine,pediculus humanus capitis infestation,sodium voltage-gated channel alpha subunit 3
4088,lidocaine,pediculus humanus capitis infestation,sodium voltage-gated channel alpha subunit 5
4089,lidocaine,pediculus humanus capitis infestation,sodium voltage-gated channel alpha subunit 10
4090,lidocaine,pediculus humanus capitis infestation,sodium voltage-gated channel alpha subunit 4
4091,terbutaline,bronchitis,adrenoceptor beta 1
4092,theophylline,bronchitis,adenosine a2a receptor
4093,theophylline,bronchitis,adenosine a2b receptor
4094,theophylline,bronchitis,phosphodiesterase 4a
4095,theophylline,bronchitis,phosphodiesterase 3a
4096,theophylline,bronchitis,phosphodiesterase 4b
4097,theophylline,bronchitis,adenosine a1 receptor
4098,theophylline,bronchitis,adenosine a3 receptor
4099,ephedrine,bronchitis,adrenoceptor alpha 1a
4100,minocycline,bronchitis,vascular endothelial growth factor a
4101,methylprednisolone,bronchitis,nuclear receptor subfamily 3 group c member 1
4102,betamethasone,bronchitis,nuclear receptor subfamily 3 group c member 1
4103,prednisolone,bronchitis,nuclear receptor subfamily 3 group c member 1
4104,triamcinolone,bronchitis,nuclear receptor subfamily 3 group c member 1
4105,betahistine,meniere disease,histamine receptor h3
4106,betahistine,meniere disease,histamine receptor h1
4107,cinnarizine,motion sickness,calcium voltage-gated channel subunit alpha1 c
4108,clotrimazole,vulvovaginal candidiasis,cytochrome p450 family 51 subfamily a member 1
4109,clotrimazole,vulvovaginal candidiasis,potassium calcium-activated channel subfamily n member 4
4110,tioconazole,vulvovaginal candidiasis,cytochrome p450 family 51 subfamily a member 1
4111,miconazole,vulvovaginal candidiasis,cytochrome p450 family 51 subfamily a member 1
4112,miconazole,vulvovaginal candidiasis,potassium calcium-activated channel subfamily n member 4
4113,amlodipine,prinzmetal angina,atp binding cassette subfamily b member 1
4114,amlodipine,prinzmetal angina,calcium voltage-gated channel subunit alpha1 s
4115,amlodipine,prinzmetal angina,calcium voltage-gated channel subunit alpha1 d
4116,diltiazem,prinzmetal angina,calcium voltage-gated channel subunit alpha1 s
4117,diltiazem,prinzmetal angina,atp binding cassette subfamily b member 1
4118,nifedipine,prinzmetal angina,atp binding cassette subfamily b member 1
4119,nifedipine,prinzmetal angina,calcium voltage-gated channel subunit alpha1 d
4120,nifedipine,prinzmetal angina,calcium voltage-gated channel subunit alpha1 s
4121,verapamil,prinzmetal angina,calcium voltage-gated channel subunit alpha1 f
4122,verapamil,prinzmetal angina,calcium voltage-gated channel subunit alpha1 d
4123,verapamil,prinzmetal angina,atp binding cassette subfamily b member 1
4124,verapamil,prinzmetal angina,calcium voltage-gated channel subunit alpha1 i
4125,verapamil,prinzmetal angina,calcium voltage-gated channel subunit alpha1 s
4126,verapamil,prinzmetal angina,calcium voltage-gated channel subunit alpha1 c
4127,felodipine,prinzmetal angina,calcium voltage-gated channel subunit alpha1 d
4128,felodipine,prinzmetal angina,calcium voltage-gated channel subunit alpha1 c
4129,felodipine,prinzmetal angina,calcium voltage-gated channel subunit alpha1 s
4130,felodipine,prinzmetal angina,atp binding cassette subfamily b member 1
4131,nicardipine,prinzmetal angina,calcium voltage-gated channel subunit alpha1 d
4132,nicardipine,prinzmetal angina,atp binding cassette subfamily b member 1
4133,nicardipine,prinzmetal angina,calcium voltage-gated channel subunit alpha1 c
4134,irinotecan,pancreatic adenocarcinoma,dna topoisomerase i
4135,gemcitabine,pancreatic adenocarcinoma,ribonucleotide reductase regulatory subunit m2
4136,gemcitabine,pancreatic adenocarcinoma,ribonucleotide reductase catalytic subunit m1
4137,gemcitabine,pancreatic adenocarcinoma,"dna polymerase epsilon, catalytic subunit"
4138,gemcitabine,pancreatic adenocarcinoma,"dna polymerase delta 1, catalytic subunit"
4139,gemcitabine,pancreatic adenocarcinoma,"dna polymerase alpha 1, catalytic subunit"
4140,gemcitabine,pancreatic adenocarcinoma,thymidylate synthetase
4141,5-fluorouracil,pancreatic adenocarcinoma,thymidylate synthetase
4142,capecitabine,pancreatic adenocarcinoma,thymidylate synthetase
4143,erlotinib,pancreatic adenocarcinoma,mitogen-activated protein kinase kinase kinase 19
4144,erlotinib,pancreatic adenocarcinoma,serine/threonine kinase 10
4145,erlotinib,pancreatic adenocarcinoma,ste20 like kinase
4146,erlotinib,pancreatic adenocarcinoma,solute carrier organic anion transporter family member 2b1
4147,erlotinib,pancreatic adenocarcinoma,epidermal growth factor receptor
4148,erlotinib,pancreatic adenocarcinoma,cyclin g associated kinase
4149,aminosalicylic acid,pulmonary tuberculosis,prostaglandin-endoperoxide synthase 1
4150,aminosalicylic acid,pulmonary tuberculosis,prostaglandin-endoperoxide synthase 2
4151,daunorubicin,wilms tumor,nuclear receptor subfamily 5 group a member 1
4152,daunorubicin,wilms tumor,dna topoisomerase ii alpha
4153,vincristine,wilms tumor,nuclear receptor subfamily 0 group b member 1
4154,bosutinib,"blast phase chronic myelogenous leukemia, bcr-abl1 positive","abl proto-oncogene 1, non-receptor tyrosine kinase"
4155,bosutinib,"blast phase chronic myelogenous leukemia, bcr-abl1 positive",bcr activator of rhogef and gtpase
4156,imatinib,"blast phase chronic myelogenous leukemia, bcr-abl1 positive","abl proto-oncogene 1, non-receptor tyrosine kinase"
4157,imatinib,"blast phase chronic myelogenous leukemia, bcr-abl1 positive",bcr activator of rhogef and gtpase
4158,dasatinib,"blast phase chronic myelogenous leukemia, bcr-abl1 positive",bcr activator of rhogef and gtpase
4159,sirolimus,lung lymphangioleiomyomatosis,fkbp prolyl isomerase 1a
4160,sirolimus,lung lymphangioleiomyomatosis,eukaryotic translation initiation factor 4e
4161,sirolimus,lung lymphangioleiomyomatosis,fkbp prolyl isomerase 1b
4162,sirolimus,lung lymphangioleiomyomatosis,fkbp prolyl isomerase 5
4163,propranolol,hemangioma,adrenoceptor beta 2
4164,propranolol,hemangioma,adrenoceptor beta 1
4165,desloratadine,allergic urticaria,histamine receptor h1
4166,prednisolone,erythema multiforme,serpin family a member 6
4167,triamcinolone,erythema multiforme,serpin family a member 6
4168,prednisone,erythema multiforme,nuclear receptor subfamily 3 group c member 1
4169,cortisol,erythema multiforme,nuclear receptor subfamily 3 group c member 1
4170,cortisol,erythema multiforme,sex hormone binding globulin
4171,cortisol,erythema multiforme,serpin family a member 6
4172,cortisol,exanthem,nuclear receptor subfamily 3 group c member 1
4173,cortisol,exanthem,sex hormone binding globulin
4174,cortisol,exanthem,serpin family a member 6
4175,prednisolone,exanthem,serpin family a member 6
4176,fluocinolone acetonide,exanthem,serpin family a member 6
4177,betamethasone,exanthem,nuclear receptor subfamily 3 group c member 1
4178,mometasone,exanthem,nuclear receptor subfamily 3 group c member 1
4179,triamcinolone,exanthem,serpin family a member 6
4180,amcinonide,exanthem,nuclear receptor subfamily 3 group c member 1
4181,flumethasone pivalate,exanthem,serpin family a member 6
4182,fluticasone,exanthem,serpin family a member 6
4183,alclometasone dipropionate,exanthem,serpin family a member 6
4184,fluocinolone acetonide,granuloma annulare,serpin family a member 6
4185,prednisolone,granuloma annulare,serpin family a member 6
4186,triamcinolone,granuloma annulare,serpin family a member 6
4187,alclometasone dipropionate,granuloma annulare,serpin family a member 6
